"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.09.2011","4.426,40","4.475,63","4.516,97","4.412,56","20,20K","-1,51%"
"27.09.2011","4.441,81","4.450,04","4.475,37","4.398,56","19,88K","0,35%"
"28.09.2011","4.358,34","4.458,46","4.472,20","4.344,65","20,46K","-1,88%"
"29.09.2011","4.189,11","4.331,22","4.331,22","4.185,80","21,41K","-3,88%"
"30.09.2011","4.174,45","4.192,62","4.212,61","4.122,48","15,43K","-0,35%"
"10.10.2011","4.159,45","4.184,09","4.200,13","4.146,51","13,51K","-0,36%"
"11.10.2011","4.152,72","4.242,47","4.270,78","4.108,03","19,76K","-0,16%"
"12.10.2011","4.302,10","4.136,67","4.303,15","4.093,18","28,48K","3,60%"
"13.10.2011","4.370,72","4.296,47","4.371,31","4.285,42","30,55K","1,60%"
"14.10.2011","4.350,42","4.357,69","4.366,39","4.309,69","22,88K","-0,46%"
"17.10.2011","4.368,77","4.356,75","4.387,01","4.336,07","22,61K","0,42%"
"18.10.2011","4.230,95","4.341,78","4.343,07","4.227,28","24,94K","-3,15%"
"19.10.2011","4.216,67","4.232,19","4.255,95","4.189,02","19,81K","-0,34%"
"20.10.2011","4.088,08","4.199,43","4.199,43","4.054,43","21,27K","-3,05%"
"21.10.2011","4.008,55","4.077,76","4.086,09","4.004,71","16,67K","-1,95%"
"24.10.2011","4.071,45","4.007,49","4.071,45","3.918,86","22,00K","1,57%"
"25.10.2011","4.185,19","4.065,09","4.192,33","4.053,56","30,40K","2,79%"
"26.10.2011","4.217,89","4.154,52","4.256,19","4.142,24","33,67K","0,78%"
"27.10.2011","4.216,23","4.217,95","4.261,51","4.199,16","29,72K","-0,04%"
"28.10.2011","4.306,40","4.258,77","4.306,40","4.238,42","34,33K","2,14%"
"31.10.2011","4.350,13","4.303,37","4.350,13","4.292,44","32,01K","1,02%"
"01.11.2011","4.355,00","4.312,10","4.368,66","4.294,72","32,95K","0,11%"
"02.11.2011","4.432,33","4.284,44","4.432,33","4.265,36","38,54K","1,78%"
"03.11.2011","4.458,45","4.451,92","4.520,75","4.451,92","50,93K","0,59%"
"04.11.2011","4.491,17","4.475,80","4.503,65","4.451,24","37,96K","0,73%"
"07.11.2011","4.474,75","4.479,52","4.517,04","4.465,35","29,65K","-0,37%"
"08.11.2011","4.420,98","4.470,74","4.485,41","4.411,87","29,21K","-1,20%"
"09.11.2011","4.501,26","4.427,31","4.501,26","4.385,84","30,52K","1,82%"
"10.11.2011","4.441,79","4.450,63","4.495,98","4.437,93","33,25K","-1,32%"
"11.11.2011","4.441,94","4.441,29","4.480,75","4.420,96","28,03K","0,00%"
"14.11.2011","4.553,24","4.474,53","4.553,24","4.474,53","34,66K","2,51%"
"15.11.2011","4.587,39","4.552,80","4.587,39","4.547,18","34,58K","0,75%"
"16.11.2011","4.474,27","4.586,21","4.586,21","4.457,43","37,69K","-2,47%"
"17.11.2011","4.474,34","4.471,59","4.525,95","4.456,24","27,48K","0,00%"
"18.11.2011","4.333,89","4.444,92","4.444,92","4.325,66","28,09K","-3,14%"
"21.11.2011","4.347,00","4.326,48","4.347,00","4.287,21","20,31K","0,30%"
"22.11.2011","4.341,69","4.308,50","4.341,69","4.272,69","20,94K","-0,12%"
"23.11.2011","4.318,12","4.343,40","4.363,39","4.310,82","19,48K","-0,54%"
"24.11.2011","4.311,28","4.279,34","4.337,21","4.248,43","22,12K","-0,16%"
"25.11.2011","4.280,95","4.306,05","4.336,82","4.267,66","21,11K","-0,70%"
"28.11.2011","4.283,10","4.283,89","4.304,89","4.251,61","19,57K","0,05%"
"29.11.2011","4.358,57","4.316,23","4.358,57","4.301,98","24,49K","1,76%"
"30.11.2011","4.164,11","4.352,35","4.352,35","4.109,10","29,36K","-4,46%"
"01.12.2011","4.254,09","4.278,11","4.319,82","4.238,57","32,55K","2,16%"
"02.12.2011","4.164,81","4.232,55","4.232,55","4.137,22","24,15K","-2,10%"
"05.12.2011","4.021,21","4.150,52","4.150,52","4.012,86","19,27K","-3,45%"
"06.12.2011","4.022,73","4.006,46","4.035,36","3.962,99","17,35K","0,04%"
"07.12.2011","4.035,03","4.017,67","4.051,61","4.001,12","16,23K","0,31%"
"08.12.2011","4.034,05","4.023,25","4.068,46","3.953,17","20,01K","-0,02%"
"09.12.2011","3.991,45","4.002,45","4.041,32","3.978,78","15,62K","-1,06%"
"12.12.2011","3.939,27","3.989,66","4.003,11","3.935,50","15,03K","-1,31%"
"13.12.2011","3.789,03","3.918,62","3.918,62","3.777,10","20,60K","-3,81%"
"14.12.2011","3.705,48","3.773,09","3.803,36","3.696,03","16,57K","-2,21%"
"15.12.2011","3.598,94","3.681,81","3.681,81","3.594,68","19,33K","-2,88%"
"16.12.2011","3.705,58","3.592,20","3.705,58","3.581,43","19,40K","2,96%"
"19.12.2011","3.715,70","3.683,04","3.716,98","3.617,34","19,89K","0,27%"
"20.12.2011","3.701,62","3.703,86","3.755,46","3.692,60","20,30K","-0,38%"
"21.12.2011","3.602,60","3.723,75","3.742,82","3.600,69","19,03K","-2,68%"
"22.12.2011","3.535,24","3.569,41","3.574,63","3.418,37","22,33K","-1,87%"
"23.12.2011","3.561,98","3.520,31","3.598,35","3.503,19","19,54K","0,76%"
