"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.09.2011","53.883","54.300","54.380","52.470","161,19K","0,80%"
"27.09.2011","54.123","54.600","55.185","53.960","144,40K","0,45%"
"28.09.2011","53.240","54.270","54.985","53.080","160,23K","-1,63%"
"29.09.2011","53.534","53.460","54.365","52.900","173,94K","0,55%"
"30.09.2011","52.249","53.010","53.200","51.910","149,71K","-2,40%"
"03.10.2011","50.776","51.950","52.370","50.530","194,16K","-2,82%"
"04.10.2011","50.746","50.105","50.915","49.400","215,32K","-0,06%"
"05.10.2011","50.978","51.000","51.300","50.215","169,57K","0,46%"
"06.10.2011","52.263","51.300","53.035","50.965","164,54K","2,52%"
"07.10.2011","51.129","52.180","53.200","50.750","177,77K","-2,17%"
"10.10.2011","53.351","51.620","53.580","51.500","99,35K","4,35%"
"11.10.2011","53.798","53.180","54.145","52.865","132,98K","0,84%"
"13.10.2011","54.371","53.810","54.515","53.290","132,98K","1,07%"
"14.10.2011","55.691","55.340","55.920","55.050","114,79K","2,43%"
"17.10.2011","54.599","55.510","55.620","54.125","128,00K","-1,96%"
"18.10.2011","55.717","54.305","55.970","53.750","161,73K","2,05%"
"19.10.2011","55.630","55.720","55.965","55.065","152,84K","-0,16%"
"20.10.2011","54.532","55.600","55.705","54.130","161,49K","-1,97%"
"21.10.2011","55.891","54.900","56.180","54.720","140,18K","2,49%"
"24.10.2011","57.550","55.985","57.950","55.850","120,51K","2,97%"
"25.10.2011","56.846","57.680","57.680","56.295","144,59K","-1,22%"
"26.10.2011","57.759","57.200","57.985","56.770","117,25K","1,61%"
"27.10.2011","59.910","59.440","60.590","59.225","119,64K","3,72%"
"28.10.2011","60.136","59.560","60.320","59.330","109,97K","0,38%"
"31.10.2011","58.925","59.610","59.655","58.620","88,84K","-2,01%"
"01.11.2011","57.938","57.000","58.135","56.155","185,75K","-1,68%"
"03.11.2011","58.647","58.700","59.370","58.200","128,50K","1,22%"
"04.11.2011","59.229","58.500","59.355","57.965","132,73K","0,99%"
"07.11.2011","59.722","58.810","59.980","58.660","116,48K","0,83%"
"08.11.2011","59.509","59.865","60.135","58.915","141,14K","-0,36%"
"09.11.2011","57.938","58.400","58.650","57.535","129,97K","-2,64%"
"10.11.2011","57.662","58.460","58.750","57.520","128,34K","-0,48%"
"11.11.2011","58.922","58.145","59.200","58.060","90,91K","2,19%"
"14.11.2011","58.577","58.620","59.080","58.310","104,11K","-0,59%"
"16.11.2011","58.883","58.255","59.290","58.025","126,89K","0,52%"
"17.11.2011","57.255","58.100","58.915","56.900","177,90K","-2,76%"
"18.11.2011","57.059","57.625","57.875","56.660","125,13K","-0,34%"
"21.11.2011","56.605","56.170","56.825","55.715","111,27K","-0,80%"
"22.11.2011","56.130","56.955","57.000","55.770","135,08K","-0,84%"
"23.11.2011","55.227","55.880","55.930","54.930","113,20K","-1,61%"
"24.11.2011","55.439","55.700","55.740","54.665","65,72K","0,38%"
"25.11.2011","55.126","55.050","55.830","54.775","100,14K","-0,56%"
"28.11.2011","56.217","56.480","56.670","56.030","92,98K","1,98%"
"29.11.2011","55.459","56.550","56.700","55.330","127,99K","-1,35%"
"30.11.2011","56.935","55.810","57.835","55.650","138,53K","2,66%"
"01.12.2011","58.319","57.265","58.840","57.080","112,10K","2,43%"
"02.12.2011","57.965","59.090","59.220","57.700","110,22K","-0,61%"
"05.12.2011","59.102","58.375","59.425","58.340","110,67K","1,96%"
"06.12.2011","59.695","59.060","59.770","58.585","120,31K","1,00%"
"07.12.2011","58.749","59.690","59.690","58.640","120,80K","-1,58%"
"08.12.2011","57.343","59.110","59.335","57.095","164,02K","-2,39%"
"09.12.2011","58.295","57.880","58.625","57.520","121,85K","1,66%"
"12.12.2011","57.331","57.945","58.115","56.795","104,15K","-1,65%"
"13.12.2011","57.490","57.920","58.190","57.315","133,67K","0,28%"
