"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.09.2011","178,10","178,10","178,10","178,10","-","-0,11%"
"27.09.2011","177,90","177,90","177,90","177,90","-","-0,11%"
"28.09.2011","177,80","177,80","177,80","177,80","-","-0,06%"
"29.09.2011","177,50","177,50","177,50","177,50","-","-0,17%"
"03.10.2011","158,60","158,60","158,60","158,60","-","-10,65%"
"04.10.2011","163,30","163,30","163,30","163,30","-","2,96%"
"05.10.2011","164,50","164,50","164,50","164,50","-","0,73%"
"06.10.2011","165,50","165,50","165,50","165,50","-","0,61%"
"07.10.2011","167,10","167,10","167,10","167,10","-","0,97%"
"10.10.2011","165,90","165,90","165,90","165,90","-","-0,72%"
"11.10.2011","164,30","164,30","164,30","164,30","-","-0,96%"
"12.10.2011","163,20","163,20","163,20","163,20","-","-0,67%"
"13.10.2011","162,40","162,40","162,40","162,40","-","-0,49%"
"14.10.2011","162,60","162,60","162,60","162,60","-","0,12%"
"17.10.2011","161,20","161,20","161,20","161,20","-","-0,86%"
"18.10.2011","159,70","159,70","159,70","159,70","-","-0,93%"
"19.10.2011","159,20","159,20","159,20","159,20","-","-0,31%"
"20.10.2011","158,60","158,60","158,60","158,60","-","-0,38%"
"21.10.2011","158,00","158,00","158,00","158,00","-","-0,38%"
"24.10.2011","157,50","157,50","157,50","157,50","-","-0,32%"
"25.10.2011","156,10","156,10","156,10","156,10","-","-0,89%"
"26.10.2011","154,80","154,80","154,80","154,80","-","-0,83%"
"27.10.2011","153,20","153,20","153,20","153,20","-","-1,03%"
"28.10.2011","152,00","152,00","152,00","152,00","-","-0,78%"
"31.10.2011","150,40","150,40","150,40","150,40","-","-1,05%"
"01.11.2011","125,60","125,60","125,60","125,60","-","-16,49%"
"02.11.2011","127,90","127,90","127,90","127,90","-","1,83%"
"03.11.2011","127,70","127,70","127,70","127,70","-","-0,16%"
"04.11.2011","129,40","129,40","129,40","129,40","-","1,33%"
"07.11.2011","129,20","129,20","129,20","129,20","-","-0,15%"
"08.11.2011","130,50","130,50","130,50","130,50","-","1,01%"
"09.11.2011","133,20","133,20","133,20","133,20","-","2,07%"
"10.11.2011","131,30","131,30","131,30","131,30","-","-1,43%"
"11.11.2011","131,30","131,30","131,30","131,30","-","0,00%"
"14.11.2011","131,50","131,50","131,50","131,50","-","0,15%"
"15.11.2011","133,40","133,40","133,40","133,40","-","1,44%"
"16.11.2011","134,10","134,10","134,10","134,10","-","0,52%"
"17.11.2011","134,80","134,80","134,80","134,80","-","0,52%"
"18.11.2011","135,20","135,20","135,20","135,20","-","0,30%"
"21.11.2011","135,30","135,30","135,30","135,30","-","0,07%"
"22.11.2011","135,70","135,70","135,70","135,70","-","0,30%"
"23.11.2011","135,80","135,80","135,80","135,80","-","0,07%"
"25.11.2011","136,30","136,30","136,30","136,30","-","0,37%"
"28.11.2011","136,00","136,00","136,00","136,00","-","-0,22%"
"29.11.2011","135,80","135,80","135,80","135,80","-","-0,15%"
"30.11.2011","135,50","135,50","135,50","135,50","-","-0,22%"
"01.12.2011","135,50","135,50","135,50","135,50","-","0,00%"
