"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.09.2011","25,31","25,83","25,93","24,90","5,00M","-1,33%"
"27.09.2011","25,59","26,13","26,14","25,55","4,34M","1,11%"
"28.09.2011","25,47","25,69","26,02","25,45","3,55M","-0,47%"
"29.09.2011","25,31","25,71","25,88","24,92","4,57M","-0,63%"
"30.09.2011","24,70","24,96","25,12","24,49","5,48M","-2,41%"
"03.10.2011","23,95","24,29","24,61","23,91","4,79M","-3,04%"
"04.10.2011","23,74","23,69","23,84","23,09","7,15M","-0,88%"
"05.10.2011","24,23","23,83","24,26","23,65","4,38M","2,06%"
"06.10.2011","24,58","24,82","24,90","24,42","4,85M","1,44%"
"07.10.2011","23,86","24,81","24,85","23,83","2,99M","-2,93%"
"10.10.2011","24,61","24,17","24,65","23,97","4,21M","3,14%"
"11.10.2011","24,97","24,55","25,00","24,45","3,53M","1,46%"
"13.10.2011","25,45","25,13","25,47","24,77","4,10M","1,92%"
"14.10.2011","25,49","25,48","25,59","25,25","4,99M","0,16%"
"17.10.2011","24,52","25,33","25,33","24,30","4,54M","-3,81%"
"18.10.2011","24,62","24,22","24,70","23,85","4,67M","0,41%"
"19.10.2011","23,79","24,53","24,55","23,11","7,48M","-3,37%"
"20.10.2011","23,49","23,72","23,72","23,17","5,13M","-1,26%"
"21.10.2011","24,03","23,74","24,13","23,64","3,77M","2,30%"
"24.10.2011","25,45","24,50","25,56","24,41","6,19M","5,91%"
"25.10.2011","25,14","25,12","25,44","24,92","4,83M","-1,22%"
"26.10.2011","25,85","25,44","25,98","25,22","4,54M","2,82%"
"27.10.2011","26,55","26,66","27,01","26,47","9,00M","2,71%"
"28.10.2011","26,43","26,30","26,60","26,17","3,83M","-0,45%"
"31.10.2011","25,90","25,95","26,01","25,56","3,78M","-2,01%"
"01.11.2011","25,66","24,85","25,66","24,85","6,76M","-0,93%"
"03.11.2011","26,48","25,92","26,63","25,87","6,82M","3,20%"
"04.11.2011","27,02","26,31","27,11","26,31","4,54M","2,04%"
"07.11.2011","27,26","26,96","27,42","26,89","3,12M","0,89%"
"08.11.2011","27,09","27,52","27,55","26,85","2,71M","-0,62%"
"09.11.2011","26,64","26,75","26,90","26,50","3,42M","-1,66%"
"10.11.2011","26,48","26,82","27,08","26,48","2,31M","-0,60%"
"11.11.2011","26,91","26,85","27,12","26,75","2,12M","1,62%"
"14.11.2011","26,78","26,78","26,98","26,72","1,36M","-0,48%"
"16.11.2011","27,01","26,83","27,38","26,79","3,22M","0,86%"
"17.11.2011","26,28","26,84","27,07","26,21","4,13M","-2,70%"
"18.11.2011","26,19","26,43","26,54","25,82","2,17M","-0,34%"
"21.11.2011","26,04","25,75","26,26","25,62","13,52M","-0,57%"
"22.11.2011","25,81","26,13","26,30","25,72","3,99M","-0,88%"
"23.11.2011","25,12","25,38","25,55","24,95","3,87M","-2,67%"
"24.11.2011","25,15","25,35","25,39","24,89","1,07M","0,12%"
"25.11.2011","24,58","24,90","25,22","24,36","3,84M","-2,27%"
"28.11.2011","24,82","25,18","25,23","24,82","2,97M","0,98%"
"29.11.2011","24,47","24,95","25,04","24,39","3,78M","-1,41%"
"30.11.2011","24,68","24,53","25,22","24,31","7,66M","0,86%"
"01.12.2011","24,83","25,05","25,14","24,47","5,25M","0,61%"
"02.12.2011","25,14","25,12","25,35","24,89","3,41M","1,25%"
"05.12.2011","25,60","25,41","25,76","25,28","2,89M","1,83%"
"06.12.2011","25,57","25,49","25,69","25,33","3,13M","-0,12%"
"07.12.2011","24,45","25,47","25,51","24,45","6,66M","-4,38%"
"08.12.2011","23,95","24,54","24,66","23,80","4,38M","-2,04%"
"09.12.2011","24,43","24,12","24,44","23,89","2,90M","2,00%"
"12.12.2011","24,02","24,29","24,29","23,74","3,13M","-1,68%"
"13.12.2011","23,99","24,21","24,34","23,87","3,21M","-0,12%"
"14.12.2011","23,61","23,91","23,94","23,50","4,38M","-1,58%"
"15.12.2011","23,23","23,67","23,83","23,11","4,45M","-1,61%"
"16.12.2011","23,23","23,41","23,51","23,03","4,40M","0,00%"
"19.12.2011","22,87","23,20","23,37","22,87","2,87M","-1,55%"
"20.12.2011","23,70","23,08","23,70","22,84","4,07M","3,63%"
"21.12.2011","23,78","23,52","23,78","23,18","3,48M","0,34%"
"22.12.2011","24,12","23,82","24,19","23,71","2,53M","1,43%"
"23.12.2011","24,26","24,24","24,42","24,15","2,13M","0,58%"
"26.12.2011","24,08","24,29","24,32","24,08","512,60K","-0,74%"
